,geneID
1440,ENSG00000078487
1445,ENSG00000078618
1446,ENSG00000078668
1447,ENSG00000078674
1448,ENSG00000078687
1449,ENSG00000078699
1451,ENSG00000078747
1453,ENSG00000078804
1454,ENSG00000078808
1457,ENSG00000078900
1458,ENSG00000078902
1459,ENSG00000078967
1463,ENSG00000079134
1465,ENSG00000079156
1466,ENSG00000079215
1467,ENSG00000079246
1468,ENSG00000079257
1470,ENSG00000079277
1472,ENSG00000079313
1473,ENSG00000079332
1474,ENSG00000079335
1475,ENSG00000079337
1476,ENSG00000079385
1477,ENSG00000079387
1479,ENSG00000079432
1480,ENSG00000079435
1481,ENSG00000079459
1482,ENSG00000079462
1483,ENSG00000079482
1485,ENSG00000079616
1487,ENSG00000079691
1488,ENSG00000079739
1489,ENSG00000079785
1490,ENSG00000079805
1491,ENSG00000079819
1493,ENSG00000079931
1494,ENSG00000079950
1495,ENSG00000079974
1496,ENSG00000079999
1498,ENSG00000080031
1500,ENSG00000080189
1501,ENSG00000080200
1504,ENSG00000080298
1505,ENSG00000080345
1506,ENSG00000080371
1508,ENSG00000080503
1510,ENSG00000080546
1511,ENSG00000080561
1514,ENSG00000080603
1515,ENSG00000080608
1519,ENSG00000080802
1520,ENSG00000080815
1521,ENSG00000080819
1522,ENSG00000080822
1523,ENSG00000080823
1524,ENSG00000080824
1525,ENSG00000080839
1526,ENSG00000080845
1529,ENSG00000080947
1530,ENSG00000080986
1531,ENSG00000081014
1532,ENSG00000081019
1533,ENSG00000081026
1534,ENSG00000081041
1537,ENSG00000081059
1538,ENSG00000081087
1541,ENSG00000081154
1542,ENSG00000081177
1543,ENSG00000081181
1547,ENSG00000081277
1548,ENSG00000081307
1549,ENSG00000081320
1550,ENSG00000081377
1551,ENSG00000081386
1554,ENSG00000081692
1555,ENSG00000081721
1556,ENSG00000081760
1557,ENSG00000081791
1563,ENSG00000081870
1564,ENSG00000081913
1565,ENSG00000081923
1567,ENSG00000082014
1568,ENSG00000082068
1571,ENSG00000082146
1572,ENSG00000082153
1575,ENSG00000082212
1576,ENSG00000082213
1577,ENSG00000082258
1578,ENSG00000082269
1581,ENSG00000082438
1582,ENSG00000082458
1584,ENSG00000082497
1585,ENSG00000082512
1586,ENSG00000082515
1587,ENSG00000082516
1589,ENSG00000082641
1591,ENSG00000082701
1592,ENSG00000082781
1593,ENSG00000082805
1594,ENSG00000082898
1596,ENSG00000082996
1598,ENSG00000083093
1599,ENSG00000083097
1600,ENSG00000083099
1601,ENSG00000083123
1602,ENSG00000083168
1603,ENSG00000083223
1604,ENSG00000083290
1605,ENSG00000083307
1606,ENSG00000083312
1607,ENSG00000083444
1609,ENSG00000083457
1610,ENSG00000083520
1611,ENSG00000083535
1612,ENSG00000083544
1613,ENSG00000083622
